case_id,task,episode,level,repaired,random,negative,interpolation,persistence
RouteStick-episode-19-k3,RouteStick,19,3,-0.00010315593681298196,-9.111762483371422e-05,-9.872612281469628e-06,-4.127942702325527e-06,0.0019474324653856456
RouteStick-episode-19-k7,RouteStick,19,7,0.002362137660384178,0.0006548184901475906,0.000651744834613055,0.0019101055804640055,0.0004280354405636899
VideoPlaceButton-episode-20-k0,VideoPlaceButton,20,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-20-k3,VideoPlaceButton,20,3,0.0016861606854945421,0.004573829006403685,0.001787946093827486,0.0009981425246223807,-0.0006545048236148432
VideoPlaceButton-episode-20-k7,VideoPlaceButton,20,7,-0.002181018702685833,0.0009442602749913931,-0.0009130232501775026,-0.00847153551876545,0.001129989279434085
VideoPlaceButton-episode-21-k0,VideoPlaceButton,21,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-21-k3,VideoPlaceButton,21,3,-0.006091104820370674,-0.0016033408464863896,-0.0019174518529325724,-0.0010274569503962994,-0.0012133402051404119
VideoPlaceButton-episode-21-k7,VideoPlaceButton,21,7,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-22-k0,VideoPlaceButton,22,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-22-k3,VideoPlaceButton,22,3,0.0024809641763567924,0.0010246878955513239,0.00045170425437390804,0.004492166452109814,0.00020745518850162625
VideoPlaceButton-episode-22-k7,VideoPlaceButton,22,7,0.00022860139142721891,0.0011476040817797184,-0.0044626095332205296,0.0003147557144984603,-0.00018887339683715254
VideoPlaceButton-episode-23-k0,VideoPlaceButton,23,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-23-k3,VideoPlaceButton,23,3,0.0017861227970570326,-0.000163334421813488,-0.002265418879687786,0.0027713950257748365,0.00018914748216047883
VideoPlaceButton-episode-23-k7,VideoPlaceButton,23,7,0.005088128615170717,0.0016590593149885535,-0.0024796235375106335,0.004986141808331013,0.004101729427929968
VideoPlaceButton-episode-24-k0,VideoPlaceButton,24,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-24-k3,VideoPlaceButton,24,3,-0.009614956565201283,-0.009162827394902706,-0.01366045419126749,-0.008592831902205944,0.002035980811342597
VideoPlaceButton-episode-24-k7,VideoPlaceButton,24,7,-0.0019250859040766954,-0.0032647300977259874,-0.003920764662325382,-0.00686994194984436,-0.00011330878987791948
VideoPlaceButton-episode-25-k0,VideoPlaceButton,25,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-25-k3,VideoPlaceButton,25,3,0.0006006468902342021,0.0013322480954229832,-0.0005803887033835053,0.0006401760037988424,-0.0006969264250074048
VideoPlaceButton-episode-25-k7,VideoPlaceButton,25,7,-0.001571389613673091,-0.0032010208815336227,-0.0030133225955069065,-0.0012861971044912934,0.004662823906983249
VideoPlaceButton-episode-26-k0,VideoPlaceButton,26,0,0.0,0.0,0.0,0.0,0.0
VideoPlaceButton-episode-26-k3,VideoPlaceButton,26,3,0.005973932333290577,-0.002657171804457903,-0.006997060962021351,-0.005096265114843845,-0.0012266994453966618
VideoPlaceButton-episode-26-k7,VideoPlaceButton,26,7,0.0036569032818078995,-0.002407667227089405,0.0007637290982529521,0.001579392934218049,-0.0010477022442501038
VideoPlaceButton-episode-27-k0,VideoPlaceButton,27,0,0.0,0.0,0.0,0.0,0.0
